date,user,comment
33:45,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
33:49,Asd Dfrr,ሞት ለፈኖ እድሜ ለአብቹ
33:51,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
33:55,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
33:56,VIVA ETHIO,@ድሮና ዘንድሮ ፋንድያ  $😄 $😄 $😄
34:07,አብይ ይምራ,አብቹ   ጥበብ   የሰለሞን   የሚመስል ትዕግሥት   የኢዮብ   የሚመስል አገዛዝ   የዳዊት   የሚመስል ይህ   የኢትዮጵያ   መሪ   ሎረት   ጠሚ   አብይ   አህመድ   አሊ   ነው !! ኢትዮጵያ   ለፈጣሪ   እልል   በይ $💚 $💛 $❤
34:09,masarat jema,ዬኔ ጃግና መሪ ምቃኛ ዓይኑ ዳም ይልባስ $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $virtualhug $virtualhug $virtualhug $thanksdoc $thanksdoc $thanksdoc $thanksdoc
34:13,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:16,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:19,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:24,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:24,አብይ ይምራ,ቪቫዬ $👋 $👋 $🌹 $🌹 $🌹 $🌹
34:27,African report 2050,ABIY AHMED IS GOD GEFTY TO ETHIOPIA
34:33,Hanna Tamrat,ዶ / ር   አብይ   ምርጥ   መሪ   ክበርልን   $🙏🏽 🇪🇹🇪🇹🇪🇹 $🌹 $🌹 $🌹 $❤ $❤ $❤
34:36,hilwa aman aman kiyar,ሀጠራዉበላቸዉ
34:46,VIVA ETHIO,አብይ ይምራ ዬ  $❤ $❤ $❤ $❤ $🌹 $🌹 $💐 $🙏
34:53,JS Gg,Tultula hula wore astelagn
34:54,Tiglu bekele,At this time our country is failed.
34:54,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:56,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:58,Bereket Bisenebt,ethiopia kurtshn kurechy parlamawum kegna hone
34:59,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
34:59,Hanna Tamrat,$👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏
35:00,አብይ ይምራ,ሀንዬ $👋 $👋 $👋 $🥰 $🥰 $🥰 $🌹 $🌹 $🌹
35:00,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:02,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:03,beftu oromo,አብቹ እረጅም እድሜ ይስጥክ
35:03,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:04,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:06,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:11,Kefale Gerbi,"Itoophiyaa humna namaatiin, diinagdeedhaan, aarsaadhaan afaan adda addaa barsiisuudhaan, nagaafi tasgabbii uumuudhaan utubuun, akka hapheetti walitti cimsaa jirra."
35:12,Konjit Demisse,እግዚአብሔር   ይችን   ምድር   እንደራራላት   ነው   የሚገባኝ   ዶክተር   አብይ   ባይሆን   በዚህ   ጊዜ   እንዲህ   ክፋ   አድራጊና   አሳቢ   ባለበት   ጠቅላይ   ሚኒስቴር   አብይ   ማሽነፊያው   ቅን   ልብ   ነው   ይንን   ቅን   ልብህን   አፅንተህ   ያዝ   እግዚአብሔር   መንግሥትህን   ያፅና
35:12,Muna Muna,የአች፣አይንኖ፣ይፍስሰ፣አች፣ዴዴብ፣
35:17,Ssnakech Girma,አቢቹ   ብዙ   የምንወድህ   የምናከብርህ   ሰዎች   አለን   በርታልን   ምኞትህ   ሁሉ   ይሳካልህ   በርታ   እግዚአብሄር   ይጠብቅሕ   $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤ $❤
35:25,Feyisa Mereba,Intaala Oromoo Qaxaalee Jabadhuu
35:25,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:27,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:32,Abiib olad jama,the parliament of Ethiopia today singed MOu Somaliland and Ethiopia beetwen
35:33,Yonatan Efrem,ይሄ ምክር ቤት ለሀገሪቱ የሚያመጣው መፍትሔ የለም ... በኢሃዴግ ጊዜ የነበረዉ የተሻለ ውይይት ይታይበት ነበር ... እነኚ የተመረጡበት አከባቢ በጦርነት በረሃብ እንዲሁም በሰላም ማጣት እየታመሰ አንድም ጥያቄ ማያንሱ አሻንጉሊቶች
35:33,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:35,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:40,African report 2050,i'am no ormo this the right thing to do brovo
35:40,hilwa aman aman kiyar,ኦነግማለትአብይነዉ
35:40,Hanna Tamrat,ሰላም   አብይ   ይምራ   ሆዴ   $🙏🏽 $🌹 $🌹 $🌹 $🌹 $❤ $❤ $❤ $❤ $❤
35:50,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:53,አብይ ይምራ,በርቱ   የኢትዮጲያ   ልጆች $💚 $💛 $❤ $💚 $💛 $❤ $💚 $💛 $❤ $💚 $💛 $❤
35:53,MICRO-WORKERS ETHIOPIA,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
35:55,Yeneante Abeje,ሁሉም የፖርላማ አባላት በራሳቸው ወይም ባፍ መፍቻ ቋንቋቸው ቢናገሩ መልካም ይሆናል፡፡
35:56,JS Gg,Aadde Caaltu Aanaalee ati bakka buute Waayyuu Tuqaafi Waamaa hagaloo mootummaankee bulchaa jiraa? Kana maaliif hin gaafattuu?
35:57,Jabesa Adula,Afrash hayil sibisib! ye mahayim! sibisib
35:58,አዲስ ፓራዳይም  : አብቹ   አለምን   ያስደመመ :  ሰርቶ   የሚያሰራ   ታታሪ   መሪ   ነው :  በ   ትጥቅ   ትግል :  በ   ሶሻል   ሚዲያ   ጫጫታ   እና   ግርግር   የሚወርድ   መንግስት   የለም :  ይልቁንስ   ሸረኞቹ :  ወሬውን   እና   ሴራውን   ትታችሁ   ስራ   ስሩ :  ኢትዮጵያ   የሚሰራላት   እንጂ   የሚያወራ   አልቸገራትም :,
36:07,Werkya hamza Yimam,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹 $☝ $☝ $👍 $👍 $👍
36:17,Gizachew Asefa,Dhugaa waaqa ati dhiira
36:19,Tewodros Demissie,era tirgum
36:19,Ermias,ደለፎኞ
36:23,Feyisa Nigussie,Lakk Kee naaf ergii Imoo iddoo jirtu dhuf mee Enkuu Saree hadhaara'uu
